slug,name,division,category,status,build_state,test_state,implementation_count,test_count,has_all_system_libraries,risk_hint,coding_path_status,next_coding_step,target_workflow,production_readiness_status,fully_coded,production_ready,path
211-resource-eligibility-bot,211 Resource Eligibility Bot,DreamFinance,dreamco-system,active,built_contract_ready,ready_for_contract_testing,4,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/211-resource-eligibility-bot
3d-asset-mgr,3D Asset Manager,DreamArts,3d-design,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/3d-asset-mgr
5s-audit-tool,5S Workplace Audit Tool,DreamProduction,workplace-org,active,built_and_test_covered,ready_for_test_run,1,1,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/5s-audit-tool
APIBot,Apibot,DreamCodeLab,dreamco-system,active,built_contract_ready,ready_for_contract_testing,5,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/APIBot
CloserBot,CloserBot,DreamSalesPro,sales,active,built_contract_ready,ready_for_contract_testing,2,0,True,standard,needs_direct_test_coverage,Promote generated contracts into direct unit or integration tests for the bot.,framework-compliance.yml,not_ready_needs_tests,False,False,bots/CloserBot
EnrichmentBot,EnrichmentBot,DreamSalesPro,lead_gen,active,built_contract_ready,ready_for_contract_testing,3,0,True,standard,needs_direct_test_coverage,Promote generated contracts into direct unit or integration tests for the bot.,framework-compliance.yml,not_ready_needs_tests,False,False,bots/EnrichmentBot
FollowUpBot,FollowUpBot,DreamFinance,marketing,active,built_contract_ready,ready_for_contract_testing,2,0,True,standard,needs_direct_test_coverage,Promote generated contracts into direct unit or integration tests for the bot.,framework-compliance.yml,not_ready_needs_tests,False,False,bots/FollowUpBot
LeadGenBot,LeadGenBot,DreamFinance,lead_gen,active,built_contract_ready,ready_for_contract_testing,2,0,True,standard,needs_direct_test_coverage,Promote generated contracts into direct unit or integration tests for the bot.,framework-compliance.yml,not_ready_needs_tests,False,False,bots/LeadGenBot
OutreachBot,OutreachBot,DreamSalesPro,marketing,active,built_contract_ready,ready_for_contract_testing,2,0,True,standard,needs_direct_test_coverage,Promote generated contracts into direct unit or integration tests for the bot.,framework-compliance.yml,not_ready_needs_tests,False,False,bots/OutreachBot
WebhooksBot,Webhooksbot,DreamCodeLab,dreamco-system,active,built_contract_ready,ready_for_contract_testing,4,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/WebhooksBot
ab-testing-bot,A/B Testing Bot,DreamCodeLab,app,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/ab-testing-bot
accelerator-prep,Accelerator Application Prep,DreamBizLaunch,accelerator,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/accelerator-prep
access-control-mgr,Access Control Manager,DreamProtection,access-control,active,built_contract_ready,ready_for_contract_testing,1,0,True,standard,needs_placeholder_review,"Review placeholder-like markers, replace stubs with real behavior, then add or run focused tests.",dreamco-debug-audit.yml,not_ready_placeholder_review,False,False,bots/access-control-mgr
